model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_96_32_Naive_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong700N,96,32,16,0.038332295,0.13000302,0.19578636,2.8775938,1504316.0,1.0385,[]
Mean,Mean_96_32_Mean_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong700N,96,32,16,0.0280282,0.109897025,0.16741624,3.2800553,1552337.8,0.8880177,[]
TSMixer,TSMixer_96_32_TSMixer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.024741104,0.099153645,0.15729305,2.7304175,1478990.8,0.83432174,"[0.09314661 0.09264991 0.09199033 0.09087013 0.09004086 0.08860051
 0.08718373 0.0850038  0.08380364 0.08044742 0.07908421 0.0764788
 0.07360325 0.07227185 0.06846419 0.06695605 0.06531431 0.06285694
 0.06110781 0.05941097 0.05733363 0.05622958 0.05482475 0.05399518
 0.05189506 0.05087636 0.04989434 0.04840471 0.04677946 0.04694742
 0.04544972 0.04581411]"
POCO,POCO_96_32_POCO_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.024285896,0.0971128,0.15583932,2.9957175,1603859.9,0.82661086,"[0.09077957 0.08990431 0.08883861 0.08802263 0.08722336 0.08645704
 0.0853484  0.08410976 0.08232701 0.08049206 0.07841245 0.07643878
 0.07463658 0.07274377 0.07094543 0.06887276 0.06680831 0.06541204
 0.06364298 0.06204903 0.06082905 0.05925085 0.05793815 0.05654139
 0.0556026  0.05466431 0.05343658 0.05264    0.05147274 0.05073124
 0.0495653  0.04896742]"
Linear,Linear_96_32_Linear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.025061704,0.10279398,0.1583089,2.9479866,1509780.5,0.83971006,"[0.09894357 0.09790937 0.09622995 0.09451166 0.09307674 0.09108241
 0.08669516 0.0858743  0.08333798 0.07938875 0.07785326 0.07317884
 0.07003886 0.06858843 0.0672421  0.06357685 0.06194146 0.05771054
 0.05721208 0.05548508 0.05108801 0.05149251 0.04946337 0.04777146
 0.04708741 0.04674865 0.04634259 0.04365366 0.04316498 0.04274536
 0.04107287 0.04035396]"
DLinear,DLinear_96_32_DLinear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.024866942,0.10226869,0.15769255,2.9470623,1551929.5,0.83644086,"[0.09858722 0.0975327  0.09607498 0.09457016 0.0929438  0.09109293
 0.0888864  0.08630276 0.08363817 0.08091934 0.07807257 0.07532036
 0.07265229 0.07007597 0.0674272  0.06494519 0.06275813 0.06059355
 0.05855913 0.05662566 0.05477839 0.05310268 0.05155483 0.05002038
 0.04873462 0.04760373 0.04656461 0.04552741 0.04452879 0.04356686
 0.04266976 0.04170614]"
Informer,Informer_96_32_Informer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.028717656,0.10567588,0.16946284,3.1917467,1230234.9,0.8988734,"[0.06997799 0.06878609 0.06316218 0.06140523 0.06106142 0.05979745
 0.05857088 0.05729226 0.04726666 0.04686006 0.04625605 0.04548348
 0.04469499 0.04400024 0.03593044 0.03542047 0.03572167 0.03540762
 0.03502765 0.03470508 0.03058068 0.03043818 0.03070582 0.03056403
 0.03037622 0.03023126 0.02519994 0.02518264 0.02546428 0.02540947
 0.02544066 0.02542866]"
Transformer,Transformer_96_32_Transformer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.027567463,0.104240574,0.16603452,3.452108,2401476.0,0.88068867,"[0.07850403 0.07721069 0.0757844  0.0743445  0.0729107  0.07147041
 0.07003232 0.06861654 0.06717668 0.06577751 0.06440067 0.0630815
 0.0617831  0.06049819 0.05928233 0.05806128 0.05690371 0.05581779
 0.05476876 0.05382033 0.0529253  0.05211075 0.05136489 0.0506728
 0.04996817 0.04936072 0.04875703 0.04813439 0.04750489 0.04685606
 0.04620271 0.04508862]"
Informer,Informer_96_32_Informer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.028714119,0.10567475,0.16945241,3.2093277,1281974.9,0.898818,"[0.06987171 0.06861103 0.0629528  0.06125872 0.0609798  0.05970615
 0.05853454 0.05721417 0.04710888 0.04664518 0.04610868 0.04529124
 0.04451426 0.04376721 0.03575548 0.03526337 0.03556031 0.03522262
 0.03485215 0.03451151 0.03052019 0.03013903 0.03046668 0.03030398
 0.03012975 0.03000762 0.02493023 0.02484852 0.02512627 0.02509135
 0.02511364 0.02510665]"
Transformer,Transformer_96_32_Transformer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong700N,96,32,16,0.027578078,0.10422687,0.16606648,3.4384222,2341028.0,0.88085824,"[0.07836473 0.07706626 0.07564899 0.07421712 0.07279614 0.07136429
 0.06993828 0.06853949 0.06711373 0.06572915 0.06436373 0.06306226
 0.06177181 0.06049134 0.05927852 0.05807332 0.05691994 0.0558385
 0.05479735 0.05385013 0.05296103 0.0521448  0.05139886 0.05070411
 0.04999955 0.04939577 0.04878903 0.04816534 0.04753486 0.04688459
 0.04623597 0.04511965]"
