model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong700N,48,16,16,0.032134492,0.120543726,0.17926095,2.918405,1636067.8,0.9511551,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong700N,48,16,16,0.026506888,0.106649674,0.16280936,3.4147995,2902756.0,0.8638632,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021954013,0.0949629,0.14816886,2.9167652,1986328.5,0.7861811,"[0.09361363 0.09369688 0.09294896 0.09142216 0.08997762 0.08885803
 0.08669029 0.08488851 0.08239933 0.08024273 0.0778714  0.07549029
 0.072901   0.06999128 0.0677293  0.06488105]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021611389,0.0920508,0.14700812,3.0338593,2411763.5,0.78002226,"[0.08980197 0.08866747 0.08780266 0.08694108 0.08616245 0.0852414
 0.08429798 0.08322186 0.08179121 0.08022156 0.07825122 0.07626884
 0.07421105 0.07233427 0.07040375 0.0686321 ]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.02249943,0.09805214,0.1499981,3.0984948,2590059.5,0.795887,"[0.09933528 0.0978632  0.09687761 0.09522337 0.09329745 0.08977291
 0.08736945 0.08463717 0.08325519 0.07908182 0.07739267 0.07327708
 0.06973098 0.06709766 0.06643966 0.06280635]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.02222007,0.09727745,0.14906397,3.052673,2336178.5,0.7909305,"[0.09894651 0.09795753 0.0965983  0.09504243 0.09324549 0.0912948
 0.08893545 0.08616936 0.08339354 0.08050565 0.07756555 0.07471284
 0.07202508 0.0693762  0.06674115 0.06427267]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.026828984,0.10357786,0.16379556,3.6379197,3211091.2,0.869096,"[0.09597789 0.0938069  0.09123062 0.08869924 0.07538801 0.07374428
 0.07208963 0.0704089  0.05934346 0.05816874 0.05709597 0.0559729
 0.04817555 0.04743909 0.04682545 0.04609065]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.026780598,0.10269861,0.16364779,3.9324563,4596857.0,0.86831194,"[0.09188332 0.09018122 0.08820453 0.08613345 0.08409631 0.08201917
 0.07992233 0.07788275 0.07589431 0.07389125 0.07201351 0.07012481
 0.06826228 0.06649885 0.06486171 0.06268612]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021954013,0.0949629,0.14816886,2.9167652,1986328.5,0.7861811,"[0.09361363 0.09369688 0.09294896 0.09142216 0.08997762 0.08885803
 0.08669029 0.08488851 0.08239933 0.08024273 0.0778714  0.07549029
 0.072901   0.06999128 0.0677293  0.06488105]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021954013,0.0949629,0.14816886,2.9167652,1986328.5,0.7861811,"[0.09361363 0.09369688 0.09294896 0.09142216 0.08997762 0.08885803
 0.08669029 0.08488851 0.08239933 0.08024273 0.0778714  0.07549029
 0.072901   0.06999128 0.0677293  0.06488105]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021954013,0.0949629,0.14816886,2.9167652,1986328.5,0.7861811,"[0.09361363 0.09369688 0.09294896 0.09142216 0.08997762 0.08885803
 0.08669029 0.08488851 0.08239933 0.08024273 0.0778714  0.07549029
 0.072901   0.06999128 0.0677293  0.06488105]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.021611389,0.0920508,0.14700812,3.0338593,2411763.5,0.78002226,"[0.08980197 0.08866747 0.08780266 0.08694108 0.08616245 0.0852414
 0.08429798 0.08322186 0.08179121 0.08022156 0.07825122 0.07626884
 0.07421105 0.07233427 0.07040375 0.0686321 ]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N,48,16,16,0.02249943,0.09805214,0.1499981,3.0984948,2590059.5,0.795887,"[0.09933528 0.0978632  0.09687761 0.09522337 0.09329745 0.08977291
 0.08736945 0.08463717 0.08325519 0.07908182 0.07739267 0.07327708
 0.06973098 0.06709766 0.06643966 0.06280635]"
