model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_32_48_Naive_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,10070.158,31.53947,100.35018,,,1.258634,[]
Mean,Mean_32_48_Mean_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,6784.174,28.879175,82.3661,,,1.0330701,[]
Naive,Naive_32_48_Naive_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,10070.158,31.53947,100.35018,,,1.258634,[]
Mean,Mean_32_48_Mean_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,6784.174,28.879175,82.3661,,,1.0330701,[]
Naive,Naive_32_48_Naive_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,10070.158,31.53947,100.35018,,,1.258634,[]
Mean,Mean_32_48_Mean_ActivityBehavioral_ftM_sl32_pl48_Exp,ActivityLongBehavioral7000NPseudo,32,48,16,6784.174,28.879175,82.3661,,,1.0330701,[]
TSMixer,TSMixer_32_48_TSMixer_ActivityBehavioral_ftM_sl32_ll16_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NPseudo,32,48,16,5887.64,22.087378,76.73096,,,0.96239185,"[0.12100335 0.11205164 0.10259666 0.09135945 0.07850633 0.06102794
 0.0144521  0.00681041 0.00608989 0.00649554 0.00729049 0.0081841
 0.00829411 0.00918254 0.01005962 0.01083721 0.01066848 0.01088255
 0.0116645  0.01147958 0.01216094 0.01213973 0.01249882 0.0126663
 0.01314238 0.01351753 0.01313879 0.01330003 0.01306674 0.01326182
 0.01326072 0.01337609 0.01335414 0.01316738 0.01325515 0.01317765
 0.01305249 0.01290633 0.01297615 0.01270314 0.0125861  0.01230537
 0.01235618 0.01206907 0.01179239 0.01162532 0.01143574 0.01132769]"
POCO,POCO_32_48_POCO_ActivityBehavioral_ftM_sl32_ll16_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NPseudo,32,48,16,6037.1143,20.90084,77.69887,inf,inf,0.97453177,"[0.12152001 0.11310329 0.10348055 0.09229617 0.07872181 0.06105763
 0.03065447 0.02513777 0.02393911 0.02299102 0.02156849 0.0204448
 0.01880006 0.01730989 0.01616725 0.01473052 0.01366664 0.01231983
 0.01157205 0.01061798 0.01011378 0.00922014 0.00892069 0.00841467
 0.00768215 0.00724436 0.00678128 0.00602086 0.00569495 0.0047767
 0.00516879 0.00459114 0.00444854 0.0046028  0.00405575 0.00412565
 0.00441195 0.00390298 0.00445364 0.00476345 0.00497513 0.00594624
 0.00616916 0.00639087 0.00745262 0.00698516 0.00670753 0.00662556]"
DLinear,DLinear_32_48_DLinear_ActivityBehavioral_ftM_sl32_ll16_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NPseudo,32,48,16,6047.576,21.60383,77.76617,,,0.97537583,"[0.12153786 0.11288832 0.10295877 0.0919283  0.07815223 0.06100766
 0.01464984 0.00704468 0.00471642 0.00477972 0.00556792 0.00652114
 0.00736905 0.00784541 0.00798811 0.00880692 0.00975448 0.00976403
 0.01019787 0.01043875 0.01092121 0.0109743  0.01192853 0.011654
 0.01231867 0.01235622 0.01259131 0.01319147 0.01233151 0.01323717
 0.01338475 0.01290133 0.0132418  0.01300052 0.0129981  0.01376802
 0.01369253 0.01337025 0.01325697 0.01311944 0.01298163 0.01295561
 0.01257873 0.01214881 0.01173485 0.01194362 0.01201646 0.01183962]"
Transformer,Transformer_32_48_Transformer_ActivityBehavioral_ftM_sl32_ll16_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NPseudo,32,48,16,6580.729,22.25298,81.12169,inf,inf,1.0174623,"[ 0.0211025   0.00549942  0.00487459  0.00425221  0.00361053  0.00324096
  0.00295896  0.00276054  0.00254643  0.00233821  0.00226577  0.00232132
  0.00257952  0.00278198  0.00318702  0.00360544  0.00397694  0.00422507
  0.00445654  0.00472194  0.00502045  0.0051148   0.00512882  0.00530623
  0.00580846  0.00615263  0.00622725  0.00621638  0.00627174  0.00640938
  0.00642335  0.00645122  0.00633363  0.00619082  0.0060848   0.00574649
  0.00535407  0.00489517  0.00431815  0.00376515  0.00313948  0.00253018
  0.00180003  0.00107631  0.00035495 -0.00012533 -0.00053938  0.0025234 ]"
Informer,Informer_32_48_Informer_ActivityBehavioral_ftM_sl32_ll16_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NPseudo,32,48,16,6588.8193,22.28367,81.17154,inf,inf,1.0180875,"[0.01396294 0.01065912 0.00746549 0.00776578 0.00783721 0.00800116
 0.00803128 0.00773011 0.00014629 0.00043673 0.00018794 0.00073855
 0.0010096  0.00195185 0.00180533 0.00172155 0.00378044 0.00490727
 0.00574952 0.00593118 0.00612936 0.00627403 0.00637877 0.0064826
 0.00461239 0.00387323 0.00404277 0.00397386 0.00396319 0.00397071
 0.00404443 0.00411585 0.00225084 0.00296302 0.00330238 0.00355805
 0.0035435  0.00343243 0.00239033 0.00104947 0.00811679 0.00835479
 0.00898368 0.00872314 0.00924958 0.0091752  0.00836808 0.00824717]"
